date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2016-01-01,Z3041J83,ST4000DM000,1.976651427858e-311,0,112,41946472,,,95,0,100,5,100,0,78,3.33317673e-316,,,99,1544,100,0,,,100,5,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,98.0,5047.0,30.0,30.0,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,7.367e-321,100.0,5.2667278164e-314,100.0,3.36097267e-315,,,,,,,,,,
2016-01-01,Z4D047SJ,ST6000DX000,2.9649744644415e-311,0,117,136031957,,,90,0,100,9,100,0,86,2.24480062e-315,,,93,6752,100,0,,,100,8,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,90.0,10.0,79.0,21.0,99.0,3739.0,100.0,0.0,98.0,4838.0,21.0,21.0,73.0,136031957.0,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,8.61848590533297e-310,100.0,1.5365634358e-313,100.0,3.238792153e-314,,,,,,,,,,
2016-01-01,PL1331LAGSPEUH,HGST HMS5C4040ALE640,1.976651427858e-311,0,100,0,133.0,104.0,100,441,100,7,100,0,100,0.0,117.0,40.0,99,11744,100,0,,,100,7,,,,,,,,,,,,,,0.0,,,,,,,100.0,70.0,100.0,70.0,171.0,35.0,,,100.0,0.0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,
2016-01-01,S300ZA9B,ST4000DM000,1.976651427858e-311,0,119,231108752,,,93,0,100,7,100,0,82,8.96194766e-316,,,95,4406,100,0,,,100,7,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,88.0,25767.0,36.0,36.0,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,2.045e-320,100.0,1.05136582406e-313,100.0,3.048180191e-314,,,,,,,,,,
2016-01-01,Z304JCBV,ST4000DM000,1.976651427858e-311,0,108,19871112,,,98,0,100,2,100,0,79,4.9189395e-316,,,98,2117,100,0,,,100,2,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,0.0,100.0,1812.0,25.0,25.0,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,1.02e-320,100.0,7.2592339106e-314,100.0,6.89869259e-315,,,,,,,,,,
2016-01-01,MK0313YHGJ54WC,Hitachi HDS723030ALA640,1.4824899095664e-311,0,100,0,100.0,0.0,129,554,100,24,100,0,100,0.0,100.0,0.0,95,39485,100,0,,,100,24,,,,,,,,,,,,,,0.0,,,,,,,99.0,1495.0,99.0,1495.0,187.0,32.0,,,100.0,0.0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,
2016-01-01,S300ZA9K,ST4000DM000,1.976651427858e-311,0,117,142468400,,,95,0,100,5,100,0,82,8.51583276e-316,,,95,4400,100,0,,,100,5,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,0.0,100.0,0.0,88.0,24718.0,33.0,33.0,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,2.0533e-320,100.0,1.01740859025e-313,100.0,2.809951706e-314,,,,,,,,,,
2016-01-01,MJ1311YNG733NA,Hitachi HDS5C3030ALA630,1.4824899095664e-311,0,100,65536,136.0,103.0,138,567,100,10,100,0,100,0.0,132.0,32.0,96,32644,100,0,,,100,10,,,,,,,,,,,,,,0.0,,,,,,,100.0,12.0,100.0,12.0,214.0,28.0,,,100.0,0.0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,
2016-01-01,PL1321LAG33WSH,Hitachi HDS5C4040ALE630,1.976651427858e-311,0,100,0,134.0,102.0,128,545,100,15,100,0,100,0.0,111.0,43.0,97,24639,100,0,,,100,15,,,,,,,,,,,,,,0.0,,,,,,,100.0,20.0,100.0,20.0,240.0,25.0,,,100.0,0.0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,
2016-01-01,PL2331LAGSSBMJ,HGST HMS5C4040ALE640,1.976651427858e-311,0,100,0,134.0,100.0,100,0,100,3,100,0,100,0.0,115.0,41.0,99,12151,100,0,,,100,3,,,,,,,,,,,,,,0.0,,,,,,,100.0,159.0,100.0,159.0,240.0,25.0,,,100.0,0.0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,
